code	name	address
MBH	Milton Bennion Hall (Demolished 2017)	1705 Campus Center Drive, Salt Lake City, UT 84112
MCD	Alice Sheets Marriott Center for Dance	330 S 1500 E, Salt Lake City, UT 84112
MCE	Floyd and Jeri Meldrum Civil Engineering Building	110 Central Campus Dr, Salt Lake City, UT 84112
MEB	Joseph F. Merrill Engineering Building	50 Central Campus Dr, Salt Lake City, UT 84112
MEC	John A. Moran Eye Center	65 N Mario Capecchi, Salt Lake City, UT 84132
MEDBIL	U Medical Billing	555 E 200 S, Salt Lake City, UT 84111
MEDEX	Medical Examiner's Office	48 N Medical Dr, Salt Lake City, UT 84113-1105
MEK	Rio Tinto Kennecott Mechanical Engineering Building	1495 E 100 S, Salt Lake City, UT 84112
METEOR	Meteorology Storage (now Bldg 837)	2185 Red Butte Rd, Salt Lake City, UT 84112
MHC	Donna Garff Marriott Residential Scholars Community	250 S. Mario Capecchi Drive, Salt Lake City, UT 84112
MHCB	Edwin L. & Grace G. Madsen Clinic	555 Foothill Blvd, Salt Lake City, UT 84112
MIL S	Military Science Building	105 S 1452 E, Salt Lake City, UT 84112
MINES	Mines Building	110 S 1460 E, Salt Lake City, UT 84112
MOTOR	Motor Pool Building	1775 E S Campus Dr, Salt Lake City, UT 84112
MPH	Holy Cross Hospital  Mountain Point	3000 North Triumph Blvd, Lehi, UT
MPL	Mineral Processing Lab	126 Central Campus Dr, Salt Lake City, UT 84112
MREB	Medical Research & Education Building	20 N Medical Dr, Salt Lake City, UT 84132
MSRL	Mining Systems Research Lab	128 Central Campus Dr, Salt Lake City, UT 84112
MVHC	UU Midvalley Health Center	243 E 6100 South, Murray, UT 84107
NEPHI	AirMed Quarters Nephi	1398 North Main, Nephi, UT 84648
NETE	Center for Native Excellence and Tribal Engagement	1925 De Trobriand St, Salt Lake City, UT 84113
NGATE	Northgate Business Center	803 N 300 W, Salt Lake City, UT 84103-1414
NHMU	Natural History Museum of Utah	301 Wakara, Salt Lake City, UT 84108
NMG	North Medical Garage	105 N Medical Dr, Salt Lake City, UT 84112
NRH(TBD)	Craig H. Neilsen Rehabilitation Hospital	85 N. Medical Drive, Salt Lake City, UT
NS	Naval Science Building	110 S 1452 E, Salt Lake City, UT 84112
NUST	NUST	Sector H12, Islamabad
NWPG	Northwest Garage	105 South 1510 East, Salt Lake City, UT 84112
OBSIDIAN	630 Komas	630 Komas, Salt Lake City, UT 84108
ODL	Ore Dressing Lab (Demolished 2007)	115 S 1460 E, Salt Lake City, UT 84112
ONE SANDY CENTER	CECE Sandy	10011 S. Centennial Parkway Suite 100, Sandy, UT 84070
ONLINE	ONLINE CAMPUS	Salt Lake City, UT
OP CLINIC LEVEL 3	Primary Childrens ENT Layton.	201 West Layton Parkway, Layton, UT 84041
OPG	Orthopedic Parking Garage	590 Wakara Way, Salt Lake City, UT 84108
